date,subsite,time,age,count,year
2013-04-11T00:00:00Z,DE,09:35:00,pup,113,2013
2013-04-13T00:00:00Z,BL,10:20:00,adult,178,2013
2013-04-13T00:00:00Z,BL,10:20:00,pup,67,2013
2013-04-13T00:00:00Z,DP,14:09:00,adult,465,2013
2013-04-13T00:00:00Z,DP,14:09:00,pup,134,2013
2013-04-17T00:00:00Z,BL,13:40:00,adult,276,2013
2013-04-17T00:00:00Z,BL,13:40:00,pup,159,2013
2013-04-17T00:00:00Z,DE,12:00:00,adult,691,2013
2013-04-17T00:00:00Z,DE,12:00:00,pup,268,2013
2013-04-19T00:00:00Z,BL,14:57:00,adult,337,2013
2013-04-19T00:00:00Z,BL,14:57:00,pup,160,2013
2013-04-19T00:00:00Z,DP,14:10:00,adult,498,2013
2013-04-19T00:00:00Z,DP,14:10:00,pup,296,2013
2013-04-21T00:00:00Z,BL,16:30:00,adult,320,2013
2013-04-21T00:00:00Z,BL,16:30:00,pup,82,2013
2013-04-22T00:00:00Z,BL,15:55:00,adult,365,2013
2013-04-22T00:00:00Z,BL,15:55:00,pup,182,2013
2013-04-22T00:00:00Z,DE,15:00:00,adult,633,2013
2013-04-22T00:00:00Z,DE,15:00:00,pup,292,2013
2013-04-25T00:00:00Z,DP,16:00:00,adult,569,2013
2013-04-25T00:00:00Z,DP,16:00:00,pup,431,2013
2013-04-26T00:00:00Z,DE,08:45:00,adult,617,2013
2013-04-26T00:00:00Z,DE,08:45:00,pup,311,2013
2013-04-27T00:00:00Z,BL,11:20:00,adult,216,2013
2013-04-27T00:00:00Z,BL,11:20:00,pup,53,2013
2013-04-28T00:00:00Z,DP,10:45:00,adult,220,2013
2013-04-28T00:00:00Z,DP,10:45:00,pup,124,2013
2013-04-29T00:00:00Z,BL,11:25:00,adult,327,2013
2013-04-29T00:00:00Z,BL,11:25:00,pup,232,2013
2013-05-02T00:00:00Z,DE,12:30:00,adult,560,2013
2013-05-02T00:00:00Z,DE,12:30:00,pup,333,2013
2013-05-02T00:00:00Z,DP,12:30:00,adult,328,2013
2013-05-02T00:00:00Z,DP,12:30:00,pup,193,2013
2013-05-03T00:00:00Z,BL,14:15:00,adult,320,2013
2013-05-03T00:00:00Z,BL,14:15:00,pup,214,2013
2013-05-06T00:00:00Z,BL,15:20:00,adult,357,2013
2013-05-06T00:00:00Z,BL,15:20:00,pup,211,2013
2013-05-06T00:00:00Z,DE,16:00:00,adult,549,2013
2013-05-06T00:00:00Z,DE,16:00:00,pup,315,2013
2013-05-07T00:00:00Z,DP,14:40:00,adult,343,2013
2013-05-07T00:00:00Z,DP,14:40:00,pup,211,2013
2013-05-10T00:00:00Z,DE,09:00:00,adult,605,2013
2013-05-10T00:00:00Z,DE,09:00:00,pup,246,2013
2013-05-14T00:00:00Z,BL,11:00:00,adult,232,2013
2013-05-14T00:00:00Z,BL,11:00:00,pup,175,2013
2013-05-14T00:00:00Z,DP,13:15:00,adult,422,2013
2013-05-14T00:00:00Z,DP,13:15:00,pup,212,2013
2013-05-15T00:00:00Z,DE,10:05:00,adult,536,2013
2013-05-15T00:00:00Z,DE,10:05:00,pup,217,2013
2013-05-17T00:00:00Z,DE,12:05:00,adult,470,2013
2013-05-17T00:00:00Z,DE,12:05:00,pup,270,2013
2013-05-19T00:00:00Z,BL,14:55:00,adult,214,2013
2013-05-19T00:00:00Z,BL,14:55:00,pup,101,2013
2013-05-20T00:00:00Z,DE,14:50:00,adult,428,2013
2013-05-20T00:00:00Z,DE,14:50:00,pup,206,2013
2013-05-20T00:00:00Z,DP,12:40:00,adult,378,2013
2013-05-20T00:00:00Z,DP,12:40:00,pup,117,2013
2013-05-21T00:00:00Z,DP,14:00:00,adult,442,2013
2013-05-21T00:00:00Z,DP,14:00:00,pup,206,2013
2013-05-22T00:00:00Z,BL,16:40:00,adult,210,2013
2013-05-22T00:00:00Z,BL,16:40:00,pup,91,2013
2013-05-28T00:00:00Z,BL,11:35:00,adult,92,2013
2013-05-28T00:00:00Z,BL,11:35:00,pup,52,2013
2013-05-30T00:00:00Z,DP,10:45:00,adult,431,2013
2013-05-30T00:00:00Z,DP,10:45:00,pup,55,2013
2013-05-31T00:00:00Z,DE,12:20:00,adult,352,2013
2013-05-31T00:00:00Z,DE,12:20:00,pup,59,2013
2013-05-31T00:00:00Z,DP,13:00:00,adult,458,2013
2013-05-31T00:00:00Z,DP,13:00:00,pup,45,2013
2014-03-06T00:00:00Z,BL,10:55:00,adult,268,2014
2014-03-07T00:00:00Z,DE,12:00:00,adult,549,2014
2014-03-08T00:00:00Z,DP,10:30:00,adult,385,2014
2014-03-11T00:00:00Z,DP,13:25:00,adult,98,2014
2014-03-12T00:00:00Z,BL,15:30:00,adult,182,2014
2014-03-12T00:00:00Z,DE,16:30:00,adult,466,2014
2014-03-14T00:00:00Z,BL,16:30:00,adult,204,2014
